case_a,case_b,case_number_a,case_number_b,input_distribution_distance,stress_distribution_distance,response_profile_distance,stress_p95_relative_difference,stress_p99_relative_difference,stress_max_relative_difference,input_distribution_distance_percentile,stress_distribution_distance_percentile,response_profile_distance_percentile,combined_distance_percentile_score,rank_of_b_from_a,rank_of_a_from_b,similarity_candidate,provisional_practical_screen
case_12,case_168,12,168,0.7906114157036048,0.9610354643934395,0.5944051438592299,0.19562031751299117,0.21025134417150224,0.2305528860234937,0.1558804121618192,0.5219024415004314,0.1744073904877925,0.284063414716681,61,70,False,difference_exceeds_integrated_presplit_screen
case_47,case_120,47,120,0.881952706387687,0.7163709185421914,0.6595862000036983,0.13054288196542643,0.11895905709123063,0.21328293384472505,0.2190244150043145,0.39627430079691384,0.23709456372772955,0.2841310931763193,59,60,False,difference_exceeds_integrated_presplit_screen
case_99,case_114,99,114,1.3112567701953621,0.36542698055107425,0.5240708722366045,0.08810984546432354,0.09030914663617828,0.17765315591404662,0.5469773107964063,0.18750317242779554,0.11791279630475611,0.28413109317631935,3,58,False,difference_exceeds_integrated_presplit_screen
case_70,case_136,70,136,0.8425974703465046,0.7716538842144346,0.6599323542328616,0.22476980111639944,0.22548338434991785,0.1354561391224876,0.1912085680929902,0.42358255926095123,0.2376529110197452,0.28414801279122887,57,41,False,difference_exceeds_integrated_presplit_screen
case_117,case_145,117,145,1.0964455257259742,0.7471109666966971,0.4208721118241111,0.181470743608433,0.18319939536849403,0.17965993827229107,0.38449824881985684,0.41261864879955334,0.055479417288462514,0.2841987716359576,43,22,False,difference_exceeds_integrated_presplit_screen
case_178,case_194,178,194,1.2279365977195231,0.5183787696929569,0.47181330558893314,0.09452186505851252,0.10390254503120792,0.1537450082630947,0.4844424140906553,0.284960154306888,0.08319374651032943,0.2841987716359576,24,63,False,difference_exceeds_integrated_presplit_screen
case_01,case_179,1,179,0.7130449322272476,0.8614651070244412,0.6887494405055806,0.16205142194573888,0.18398879518722797,0.17538595586451253,0.11441043601847622,0.4710928379270088,0.2671437998071164,0.28421569125086715,63,78,False,difference_exceeds_integrated_presplit_screen
case_64,case_169,64,169,0.8890525582413059,0.6078964012303482,0.7140410351267398,0.15990896188367035,0.16720589711970985,0.19576162356416604,0.22440485254555606,0.3368864524643419,0.2913557687427034,0.28421569125086715,66,61,False,difference_exceeds_integrated_presplit_screen
case_114,case_195,114,195,0.6262749378213024,0.9650580313221432,0.66951144393963,0.26549541895627154,0.27168733019669233,0.21796435494992072,0.08151870463428253,0.5240343129790366,0.24714481498401097,0.2842326108657767,59,60,False,difference_exceeds_integrated_presplit_screen
case_144,case_156,144,156,0.9927381344908586,0.6342676049297794,0.6179980126444746,0.13619973720163642,0.12993113566540476,0.12395882420086028,0.30277650880665957,0.35246941779605095,0.19745190599461956,0.2842326108657767,72,54,False,difference_exceeds_integrated_presplit_screen
case_02,case_124,2,124,0.7997196829474924,0.4825578710531865,0.8430901029848887,0.10618838866736394,0.117970944204949,0.0551305401053553,0.16192071468453378,0.26247398609207656,0.42835389066544843,0.28424953048068624,63,59,False,difference_exceeds_integrated_presplit_screen
case_77,case_93,77,93,0.8272032286512065,1.0513800413787981,0.5068715549917574,0.2352080727200686,0.2201544161073584,0.24673619836109428,0.18034617532104968,0.5668747779300544,0.10598446779351302,0.28440180701487233,25,69,False,difference_exceeds_integrated_presplit_screen
case_11,case_120,11,120,1.2815429417325666,0.2366009577436747,0.6481422316890972,0.03132153158765689,0.044588220726271846,0.030683262247184723,0.5268768082838434,0.10106085985482971,0.22552154712958733,0.2844864050894202,23,61,False,difference_exceeds_integrated_presplit_screen
case_46,case_115,46,115,1.1243294138584183,0.4306042467483376,0.642984218580387,0.08030093477084907,0.06697722967295001,0.145055091967829,0.40576620476117964,0.22790721283183596,0.2199888330541597,0.2845540835490585,50,53,False,difference_exceeds_integrated_presplit_screen
case_17,case_89,17,89,1.4894446957819298,0.27390785271190926,0.43752216510486974,0.06732139490704715,0.060812967012902806,0.10028505923030875,0.6630120298462007,0.1271509060453784,0.06375310897923964,0.2846386816236062,13,59,False,difference_exceeds_integrated_presplit_screen
case_97,case_168,97,168,0.8973506261430618,0.8851999966265115,0.5521884440797715,0.17516843914349703,0.18205766086532618,0.2026249962107805,0.23019136084462719,0.4843916552459266,0.13933302878026496,0.2846386816236062,69,71,False,difference_exceeds_integrated_presplit_screen
case_76,case_191,76,191,0.47345019299510993,1.0750096995664098,0.6580938898831898,0.2908601390792844,0.30579795455714237,0.28971355070831173,0.04050555809349779,0.5779909649256383,0.23547028069641135,0.2846556012385158,40,68,False,difference_exceeds_integrated_presplit_screen
case_14,case_107,14,107,0.6792107925719125,0.42753381869897944,0.9452877812319626,0.06699422309525162,0.03351871456500776,0.1265712406048771,0.10004568296025583,0.2259276178874169,0.5280950205573322,0.28468944046833494,66,48,False,difference_exceeds_integrated_presplit_screen
case_178,case_187,178,187,1.0609334254209337,0.4514410988022215,0.677858537340594,0.11203470717391782,0.08861575550350557,0.1289864133349109,0.356276331150703,0.24227196589005634,0.2558753362773463,0.2848078777727019,25,62,False,difference_exceeds_integrated_presplit_screen
